date,rainfall_mm
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,22
2015-06-10,13
2015-06-11,3
2015-06-12,0
2015-06-13,6
2015-06-14,3
2015-06-16,1
2015-06-17,0
2015-06-18,63
2015-06-20,0
2015-06-21,5
2015-06-22,1
2015-06-23,0
2015-06-24,9
2015-06-25,0.9
2015-06-26,9
2015-06-27,0.5
2015-06-28,5
2015-06-30,6
2015-07-01,0
2015-07-02,0
2015-07-03,21
2015-07-04,12
2015-07-05,0.1
2015-07-06,1
2015-07-07,0
2015-07-09,6
2015-07-10,1
2015-07-12,0
2015-07-14,53
2015-07-15,8
2015-07-16,2
2015-07-17,0
2015-07-18,9
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,19
2015-07-23,0.8
2015-07-24,1
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0.2
2015-07-31,2
2015-08-01,0.2
2015-08-02,0
2015-08-03,0.2
2015-08-04,0
2015-08-05,3
2015-08-06,0.1
2015-08-07,0
2015-08-09,48
2015-08-10,9
2015-08-11,12
2015-08-13,2
2015-08-14,0.2
2015-08-15,0.1
2015-08-16,0
2015-08-17,14
2015-08-18,0.5
2015-08-19,53
2015-08-20,23
2015-08-21,0.1
2015-08-22,0
2015-08-23,2
2015-08-24,0
2015-08-25,0
2015-08-27,27
2015-08-28,0.3
2015-08-29,0
2015-08-31,5
2015-09-01,13
2015-09-02,2.4
2015-09-03,2
2015-09-04,0
2015-09-05,0.2
2015-09-06,0
2015-09-07,0
2015-09-08,2
2015-09-09,0
2015-09-10,0
2015-09-11,75
2015-09-12,0
2015-09-13,12
2015-09-14,16
2015-09-15,1
2015-09-16,0.2
2015-09-17,0
2015-09-18,0
2015-09-19,6
2015-09-20,14
2015-09-21,0.4
2015-09-22,0.5
2015-09-23,1
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-06,22
2016-06-07,5
2016-06-08,70
2016-06-09,0.2
2016-06-11,0.7
2016-06-12,2
2016-06-13,0.5
2016-06-14,4.3
2016-06-15,0
2016-06-16,0.9
2016-06-17,3
2016-06-18,0
2016-06-19,3.7
2016-06-20,11
2016-06-21,60
2016-06-22,12
2016-06-23,18
2016-06-24,26
2016-06-25,35
2016-06-26,1
2016-06-27,0.2
2016-06-28,0
2016-06-29,0
2016-06-30,7
2016-07-01,6
2016-07-02,0
2016-07-03,6
2016-07-05,8
2016-07-06,2
2016-07-07,0.3
2016-07-08,0
2016-07-10,6
2016-07-11,0
2016-07-12,0.5
2016-07-13,3
2016-07-14,0.1
2016-07-15,37
2016-07-16,34
2016-07-17,24
2016-07-18,5
2016-07-20,73
2016-07-21,25
2016-07-22,51
2016-07-23,16
2016-07-24,12
2016-07-25,53
2016-07-26,9
2016-07-27,5
2016-07-28,12
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,10
2016-08-02,5
2016-08-03,0
2016-08-04,0
2016-08-05,2.8
2016-08-06,0.4
2016-08-07,0
2016-08-08,6.8
2016-08-09,4
2016-08-10,1
2016-08-11,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,8
2016-08-17,0
2016-08-18,0.7
2016-08-19,0
2016-08-20,0
2016-08-21,27
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,7
2016-08-26,0
2016-08-27,0
2016-08-28,6
2016-08-29,56
2016-08-30,16
2016-08-31,1
2016-09-01,8
2016-09-02,51
2016-09-03,14
2016-09-04,7
2016-09-05,5
2016-09-06,0.6
2016-09-07,0.5
2016-09-08,11
2016-09-09,0
2016-09-10,0.3
2016-09-11,6
2016-09-12,9
2016-09-13,0
2016-09-14,4
2016-09-15,4
2016-09-16,11
2016-09-17,75
2016-09-18,0.5
2016-09-19,17
2016-09-20,23
2016-09-21,25
2016-09-22,0
2016-09-23,33
2016-09-24,90
2016-09-25,25
2016-09-26,5
2016-09-27,0.3
2016-09-28,4
2016-09-29,1
2016-09-30,0
2016-10-01,0
2016-10-02,10
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,6
2016-10-07,17
2016-10-08,0
2016-10-09,0.3
2016-10-10,0
2016-10-11,3
2016-10-12,0
2016-10-13,0.3
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-30,0
2016-10-31,0
2017-06-01,0
2017-06-02,23
2017-06-03,0
2017-06-04,21
2017-06-05,0
2017-06-06,0
2017-06-07,4
2017-06-08,10
2017-06-09,14
2017-06-10,3
2017-06-11,0
2017-06-12,22
2017-06-13,0
2017-06-14,0
2017-06-15,3
2017-06-16,1
2017-06-17,0
2017-06-18,0
2017-06-19,45
2017-06-20,63
2017-06-21,9
2017-06-22,0.9
2017-06-23,0
2017-06-24,9
2017-06-25,9
2017-06-26,0
2017-06-27,10
2017-06-28,1
2017-06-29,0
2017-06-30,4
2017-07-01,0
2017-07-02,3
2017-07-03,10
2017-07-04,35
2017-07-05,6
2017-07-06,15
2017-07-07,7
2017-07-08,0
2017-07-09,65
2017-07-10,3
2017-07-11,10
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,0
2017-07-19,0.1
2017-07-20,6
2017-07-21,0
2017-07-22,0
2017-07-23,0.8
2017-07-24,0
2017-07-25,3
2017-07-26,1
2017-07-27,0
2017-07-28,17
2017-07-29,1
2017-07-30,10
2017-07-31,9
2017-08-01,0
2017-08-02,18
2017-08-03,0
2017-08-04,3
2017-08-05,0
2017-08-06,7
2017-08-07,30
2017-08-08,0.5
2017-08-09,26
2017-08-10,57
2017-08-14,0
2017-08-15,0
2017-08-16,1
2017-08-17,0
2017-08-18,13
2017-08-19,5
2017-08-20,0
2017-08-21,10
2017-08-22,11
2017-08-23,0
2017-08-25,0
2017-08-26,29
2017-08-27,3
2017-08-28,0
2017-08-29,0
2017-09-01,0
2017-09-02,19
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,50
2017-09-07,0
2017-09-08,5
2017-09-09,0
2017-09-10,0.5
2017-09-11,0
2017-09-12,3
2017-09-13,0
2017-09-14,0
2017-09-15,0
2017-09-16,0
2017-09-17,5
2017-09-18,0
2017-09-19,1
2017-09-20,14
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,4
2017-09-28,3
2017-09-29,0
2017-09-30,0
2017-10-01,9
2017-10-02,0.1
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-07,0
2017-10-08,0
2017-10-09,6
2017-10-10,5
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0.1
2017-10-21,0.8
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,11.7
2017-10-30,10.7
2017-10-31,0
2018-06-01,0
2018-06-02,12
2018-06-03,0
2018-06-04,0
2018-06-05,0
2018-06-06,0
2018-06-07,0.1
2018-06-08,3
2018-06-09,0
2018-06-10,0.3
2018-06-11,15
2018-06-12,1
2018-06-13,15
2018-06-14,0
2018-06-15,0
2018-06-16,49
2018-06-17,14
2018-06-18,0.9
2018-06-19,10
2018-06-20,0
2018-06-21,14
2018-06-22,0
2018-06-23,1
2018-06-24,0.6
2018-06-25,5
2018-06-26,0
2018-06-27,11
2018-06-28,2
2018-06-29,1
2018-06-30,10
2018-07-01,59
2018-07-02,51
2018-07-03,6
2018-07-05,0.5
2018-07-06,0
2018-07-07,1.6
2018-07-08,0.6
2018-07-09,2.4
2018-07-10,0.4
2018-07-11,0
2018-07-12,48
2018-07-13,0.4
2018-07-14,0
2018-07-15,0
2018-07-16,0
2018-07-17,1
2018-07-18,0
2018-07-19,0
2018-07-20,0
2018-07-21,0.4
2018-07-22,0
2018-07-23,0
2018-07-24,123
2018-07-25,2.3
2018-07-26,2.4
2018-07-27,0
2018-07-28,1
2018-07-29,4.6
2018-07-30,33.6
2018-07-31,10.2
2018-08-01,1
2018-08-02,6
2018-08-03,1
2018-08-04,0
2018-08-05,19
2018-08-06,15
2018-08-07,0
2018-08-09,0
2018-08-10,55.5
2018-08-11,57
2018-08-12,10
2018-08-13,0
2018-08-14,0.4
2018-08-15,0
2018-08-16,0
2018-08-17,0
2018-08-18,0
2018-08-19,29.8
2018-08-20,1
2018-08-21,4.3
2018-08-22,0
2018-08-23,6
2018-08-24,25
2018-08-25,1.3
2018-08-26,0
2018-08-27,29
2018-08-28,0
2018-08-29,116
2018-08-30,9.6
2018-08-31,0
2018-09-01,16
2018-09-02,12.7
2018-09-03,0
2018-09-04,0
2018-09-05,0
2018-09-06,2.4
2018-09-07,0
2018-09-08,1.2
2018-09-09,73.2
2018-09-10,9
2018-09-11,37
2018-09-12,40
2018-09-13,42
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,3
2018-09-22,0
2018-10-01,0
2018-10-02,0
2018-10-03,0
2018-10-04,0
2018-10-05,0
2018-10-06,8.5
2018-10-07,0
2018-10-08,0
2018-10-09,0
2018-10-10,0
2018-10-11,1
2018-10-12,0
2018-10-13,0
2018-10-14,0
2018-10-15,0
2018-10-16,0
2018-10-17,0
2018-10-18,0
2018-10-19,0
2018-10-20,7
2018-10-21,0
2018-10-22,0
2018-10-23,0
2018-10-24,0
2018-10-26,0
2018-10-27,0
2018-10-28,0
2018-10-29,0
2018-10-30,0
2018-10-31,0
2019-06-02,7
2019-06-03,0
2019-06-04,0
2019-06-05,0.1
2019-06-06,0
2019-06-07,0.2
2019-06-08,0
2019-06-09,33
2019-06-10,29
2019-06-11,0
2019-06-12,0
2019-06-13,0
2019-06-14,15
2019-06-15,0
2019-06-16,21
2019-06-17,2
2019-06-18,3
2019-06-19,9
2019-06-20,1
2019-06-21,3
2019-06-22,6
2019-06-23,0
2019-06-24,0
2019-06-25,0
2019-06-26,10
2019-06-27,12
2019-06-29,0
2019-06-30,0
2019-07-01,3
2019-07-02,0
2019-07-03,0
2019-07-05,0
2019-07-07,42
2019-07-08,16
2019-07-09,42
2019-07-10,77
2019-07-11,172
2019-07-12,92
2019-07-13,120
2019-07-14,74
2019-07-15,7
2019-07-16,0
2019-07-17,1
2019-07-18,0
2019-07-19,0
2019-07-20,2
2019-07-21,3
2019-07-22,12
2019-07-23,19
2019-07-24,85
2019-07-25,34
2019-07-26,13
2019-07-27,11
2019-07-28,0
2019-07-29,0
2019-07-30,7
2019-07-31,19
2019-08-01,27
2019-08-02,0
2019-08-03,0
2019-08-04,0
2019-08-05,0
2019-08-06,12
2019-08-07,0
2019-08-08,5
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,23
2019-08-13,0
2019-08-14,10
2019-08-15,0
2019-08-16,2
2019-08-17,0
2019-08-18,4
2019-08-19,12
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,48
2019-08-24,0
2019-08-25,0
2019-08-26,0
2019-08-27,0
2019-08-28,0
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,0
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,0
2019-09-06,0
2019-09-07,0
2019-09-08,8
2019-09-09,0
2019-09-10,8
2019-09-11,0
2019-09-12,13
2019-09-13,0
2019-09-14,0.4
2019-09-15,105
2019-09-16,15
2019-09-17,41
2019-09-18,14
2019-09-19,0
2019-09-20,0
2019-09-21,0
2019-09-22,0
2019-09-23,109
2019-09-24,1
2019-09-25,2
2019-09-27,13
2019-09-28,49
2019-09-29,61
2019-09-30,5
2019-10-01,0
2019-10-02,0
2019-10-03,0
2019-10-04,0
2019-10-05,0
2019-10-06,0
2019-10-07,0
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-12,0
2019-10-13,0
2019-10-14,0
2019-10-15,0
2019-10-16,0
2019-10-17,0
2019-10-18,0
2019-10-19,0
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2020-06-01,17.2
2020-06-02,0
2020-06-03,0
2020-06-04,1.4
2020-06-05,55.3
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0.1
2020-06-14,34.5
2020-06-15,120.4
2020-06-16,0.3
2020-06-17,3
2020-06-18,4.4
2020-06-19,17.5
2020-06-20,14.8
2020-06-21,13.2
2020-06-22,69.2
2020-06-23,0
2020-06-24,72.2
2020-06-25,49.6
2020-06-26,67.2
2020-06-27,85.6
2020-06-28,22.4
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,74.2
2020-07-04,24.8
2020-07-05,0
2020-07-06,9
2020-07-07,14.2
2020-07-08,0
2020-07-09,2.6
2020-07-10,43.6
2020-07-11,55.8
2020-07-12,10.5
2020-07-13,1.4
2020-07-14,0
2020-07-15,73.4
2020-07-16,8.4
2020-07-17,117.2
2020-07-18,0.8
2020-07-19,25.9
2020-07-20,30
2020-07-21,0
2020-07-22,19.2
2020-07-23,2
2020-07-24,37.6
2020-07-25,0.3
2020-07-26,39
2020-07-27,41.7
2020-07-28,0.5
2020-07-29,33.8
2020-07-30,0
2020-07-31,26.8
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,22.2
2020-08-06,7.7
2020-08-07,0
2020-08-08,0
2020-08-09,25.4
2020-08-10,36.2
2020-08-11,1.2
2020-08-12,40.6
2020-08-13,0
2020-08-14,0
2020-08-15,3.4
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,10.6
2020-08-22,0
2020-08-23,3.6
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,9.5
2020-08-29,0
2020-08-30,0
2020-08-31,0.4
2020-09-01,1
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0.7
2020-09-06,0
2020-09-07,28.2
2020-09-08,1.2
2020-09-09,0.5
2020-09-10,0.6
2020-09-11,0
2020-09-12,0
2020-09-13,25.6
2020-09-14,37.2
2020-09-15,60.9
2020-09-16,0.3
2020-09-17,20.4
2020-09-18,0.7
2020-09-19,0
2020-09-21,32.5
2020-09-22,40.6
2020-09-23,125
2020-09-24,108.5
2020-09-25,15.6
2020-09-26,38.5
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0.6
2020-10-03,0.3
2020-10-04,19.9
2020-10-05,0
2020-10-06,23
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2021-06-01,1.2
2021-06-02,0
2021-06-03,0
2021-06-04,5
2021-06-05,0
2021-06-06,8.4
2021-06-07,1.5
2021-06-08,16.5
2021-06-09,6.7
2021-06-11,2.8
2021-06-12,1.7
2021-06-13,0
2021-06-14,20.5
2021-06-15,7.9
2021-06-16,0.3
2021-06-17,0
2021-06-18,1.6
2021-06-19,7.3
2021-06-20,2.8
2021-06-22,10.5
2021-06-23,19.4
2021-06-24,9.5
2021-06-25,12.5
2021-06-26,24.8
2021-06-27,101.6
2021-06-28,0.4
2021-06-29,26.2
2021-06-30,17.3
2021-07-01,89.9
2021-07-02,107.5
2021-07-03,6.2
2021-07-04,0
2021-07-05,58.5
2021-07-06,3
2021-07-07,2.5
2021-07-08,8.6
2021-07-09,0
2021-07-10,54.7
2021-07-11,1.6
2021-07-12,0
2021-07-13,32.5
2021-07-14,4.8
2021-07-15,3.4
2021-07-16,0
2021-07-17,31.2
2021-07-18,50.3
2021-07-19,84.2
2021-07-20,1.4
2021-07-21,23.8
2021-07-22,0
2021-07-23,9
2021-07-24,1.4
2021-07-25,0
2021-07-26,86.2
2021-07-27,0.8
2021-07-28,0
2021-07-29,0
2021-07-30,19.5
2021-07-31,1.5
2021-08-01,0
2021-08-02,0
2021-08-03,29.5
2021-08-04,1.5
2021-08-05,0
2021-08-06,3
2021-08-07,9.6
2021-08-08,0
2021-08-09,0
2021-08-10,6
2021-08-11,9.2
2021-08-12,3.4
2021-08-13,13.9
2021-08-14,19.4
2021-08-15,5.6
2021-08-16,28.4
2021-08-17,0
2021-08-18,15.2
2021-08-19,7.2
2021-08-20,18.2
2021-08-21,0
2021-08-22,3.5
2021-08-23,18.4
2021-08-24,27.6
2021-08-25,17.2
2021-08-26,2.8
2021-08-27,49.8
2021-08-28,1
2021-08-29,45.7
2021-08-30,6
2021-08-31,0
2021-09-01,3.4
2021-09-02,37.4
2021-09-03,0
2021-09-05,0
2021-09-06,1.4
2021-09-07,0
2021-09-08,6.2
2021-09-09,2.8
2021-09-10,0.5
2021-09-11,0
2021-09-12,0
2021-09-13,12.5
2021-09-14,5.6
2021-09-15,0
2021-09-16,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,16.5
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,0
2021-09-29,1
2021-09-30,11.6
2021-10-01,7.8
2021-10-02,20.5
2021-10-03,0.2
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,26.7
2021-10-08,0.4
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,1.4
2021-10-17,0.4
2021-10-18,67.2
2021-10-19,323
2021-10-21,0
2021-10-22,9.1
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-10-31,0
2022-06-02,0
2022-06-03,55.5
2022-06-04,24.2
2022-06-05,4.2
2022-06-06,0.3
2022-06-07,0.7
2022-06-08,51.5
2022-06-09,7.6
2022-06-10,0
2022-06-11,5.5
2022-06-12,27.5
2022-06-13,17.5
2022-06-15,5.2
2022-06-16,41.7
2022-06-17,30.7
2022-06-18,36.4
2022-06-19,0.1
2022-06-20,5.7
2022-06-21,4
2022-06-22,2.4
2022-06-23,0
2022-06-24,4.5
2022-06-25,0.7
2022-06-26,1
2022-06-27,101.2
2022-06-28,98.5
2022-06-29,74.3
2022-06-30,0
2022-07-01,0.5
2022-07-02,0
2022-07-03,0
2022-07-04,4.8
2022-07-05,3.5
2022-07-06,0.6
2022-07-07,0
2022-07-08,3.8
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,1.6
2022-07-13,0
2022-07-14,14.3
2022-07-15,2.7
2022-07-16,0
2022-07-17,0.4
2022-07-18,3.7
2022-07-19,0
2022-07-20,5.6
2022-07-21,9.9
2022-07-22,0.1
2022-07-23,43.4
2022-07-24,5.8
2022-07-25,1.2
2022-07-26,20.4
2022-07-27,1.5
2022-07-28,67.8
2022-07-29,0.8
2022-07-30,29.3
2022-07-31,12.8
2022-08-01,114.3
2022-08-02,0.1
2022-08-03,13.3
2022-08-04,0
2022-08-05,6.2
2022-08-06,2.8
2022-08-07,0
2022-08-08,0
2022-08-09,0
2022-08-10,0
2022-08-11,0
2022-08-12,0
2022-08-13,0
2022-08-14,8.3
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0.1
2022-08-19,0.2
2022-08-20,0.6
2022-08-21,0
2022-08-22,0
2022-08-23,4.1
2022-08-24,0
2022-08-25,0
2022-08-27,3.9
2022-08-28,6.5
2022-08-29,26
2022-08-30,25.2
2022-08-31,10.1
2022-09-01,0
2022-09-02,15.2
2022-09-03,48.7
2022-09-04,8
2022-09-05,54.2
2022-09-06,0
2022-09-07,34.3
2022-09-08,0.6
2022-09-09,0
2022-09-10,0
2022-09-11,0
2022-09-12,22.4
2022-09-13,8.6
2022-09-14,0
2022-09-15,0
2022-09-16,92.6
2022-09-17,3.8
2022-09-18,0
2022-09-19,0
2022-09-20,0
2022-09-21,0
2022-09-23,0
2022-09-24,44.2
2022-09-25,0.4
2022-09-26,2.3
2022-09-27,0
2022-09-28,83.3
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-02,0
2022-10-03,9.9
2022-10-04,17.2
2022-10-05,23.7
2022-10-06,0
2022-10-07,0
2022-10-08,0
2022-10-09,17.3
2022-10-10,7.4
2022-10-11,52.8
2022-10-12,3.3
2022-10-13,0.1
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,0
2022-10-18,0
2022-10-19,0
2022-10-20,0
2022-10-21,0
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,0
2022-10-31,0
2023-06-01,0
2023-06-02,0
2023-06-03,0
2023-06-04,0
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,0
2023-06-09,0
2023-06-10,0
2023-06-11,10.6
2023-06-12,35.7
2023-06-13,4
2023-06-14,32.7
2023-06-15,0
2023-06-16,0
2023-06-17,0
2023-06-18,44.6
2023-06-19,19.5
2023-06-20,0
2023-06-21,0
2023-06-22,85.7
2023-06-23,0.1
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,21.8
2023-06-28,27.5
2023-06-29,25.5
2023-06-30,63.4
2023-07-01,2.2
2023-07-02,11.4
2023-07-03,0.6
2023-07-04,53.9
2023-07-05,4.1
2023-07-06,52.7
2023-07-07,0
2023-07-08,0
2023-07-09,38.5
2023-07-10,1.3
2023-07-11,51
2023-07-12,40.3
2023-07-13,108
2023-07-14,8.5
2023-07-15,0
2023-07-16,0
2023-07-17,6.8
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0.5
2023-07-24,0.4
2023-07-25,0
2023-07-26,16.7
2023-07-27,0.8
2023-07-28,0
2023-07-29,21.5
2023-07-30,0
2023-07-31,1.6
2023-08-01,1.2
2023-08-02,0
2023-08-03,32.8
2023-08-04,7
2023-08-05,0
2023-08-06,8
2023-08-07,112.3
2023-08-08,14.2
2023-08-09,0
2023-08-10,0.7
2023-08-11,1
2023-08-12,2.8
2023-08-13,5.7
2023-08-14,0
2023-08-15,0.8
2023-08-16,40.4
2023-08-17,4.5
2023-08-18,4.2
2023-08-19,0
2023-08-20,0
2023-08-21,2.4
2023-08-22,2.8
2023-08-23,35.4
2023-08-24,27.6
2023-08-25,36.5
2023-08-26,58.4
2023-08-27,1.8
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,1.5
2023-09-08,24.3
2023-09-09,1.1
2023-09-10,0
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,0
2023-09-17,0
2023-09-18,12.6
2023-09-19,0
2023-09-20,33.8
2023-09-21,11.6
2023-09-22,68.2
2023-09-23,61.1
2023-09-24,0.3
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,19
2023-10-01,0
2023-10-02,1.3
2023-10-03,20.4
2023-10-04,10.5
2023-10-05,0
2023-10-06,0
2023-10-07,0.5
2023-10-08,0
2023-10-09,9.8
2023-10-10,0
2023-10-11,0
2023-10-12,0.6
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,0
